datetime,Close,Open,High,Low,Volume,Change
2025/12/31,15.25,15.6,15.75,15.21,56.00M,-2.49%
2025/12/30,15.64,15.41,15.85,15.2,72.27M,-0.26%
2025/12/29,15.68,16.11,16.18,15.43,106.19M,-3.21%
2025/12/26,16.2,15.19,16.5,14.97,167.06M,8.87%
2025/12/25,14.88,15.04,15.05,14.73,41.57M,-0.93%
2025/12/24,15.02,14.81,15.1,14.8,55.18M,0.54%
2025/12/23,14.94,14.58,15.19,14.5,76.67M,1.77%
2025/12/22,14.68,14.09,14.85,14.01,76.43M,4.34%
2025/12/19,14.07,14.01,14.16,13.78,44.02M,0.29%
2025/12/18,14.03,14.1,14.25,14,41.70M,-1.89%
2025/12/17,14.3,13.99,14.35,13.83,64.61M,2.88%
2025/12/16,13.9,14.42,14.48,13.73,66.61M,-4.07%
2025/12/15,14.49,15.3,15.42,14.41,97.97M,-5.79%
2025/12/12,15.38,16.28,16.45,15.09,121.93M,-4.53%
2025/12/11,16.11,16.53,16.68,16.1,101.65M,-2.36%
2025/12/10,16.5,15.36,17.16,15.34,170.42M,8.13%
2025/12/9,15.26,15.23,15.48,14.95,62.78M,-1.42%
2025/12/8,15.48,15.07,15.5,14.85,82.51M,1.44%
2025/12/5,15.26,15.54,15.58,14.88,76.77M,-1.80%
2025/12/4,15.54,15.3,15.87,15.07,97.06M,-0.89%
2025/12/3,15.68,16.21,16.75,15.61,162.28M,-3.09%
2025/12/2,16.18,16.81,17.4,15.83,196.86M,5.13%
2025/12/1,15.39,15.97,16.66,15.31,132.01M,0.46%
2025/11/28,15.32,15.02,15.65,14.92,80.82M,1.52%
2025/11/27,15.09,15,15.53,14.95,73.02M,0.07%
2025/11/26,15.08,15.49,15.67,15.02,82.91M,-3.40%
2025/11/25,15.61,15.03,15.85,15,100.86M,5.19%
2025/11/24,14.84,15.31,15.45,14.67,94.29M,-1.07%
2025/11/21,15,16.51,16.73,15,168.83M,-12.13%
2025/11/20,17.07,17.11,18.72,17.05,169.81M,-0.12%
2025/11/19,17.09,16.62,17.53,16.4,149.67M,2.03%
